KSP_Feldbeschreibung,Name_Verwaltungseinheit,Bilanzjahr,Energieatlas_Feldbeschreibung,Wert,Einheit
HE_Waerme,Name Verwaltungseineit,2014,EEV_Wärme_PHH,885269.990493033,MWh
GE_Waerme,Name Verwaltungseineit,2014,EEV_Wärme_GHD,180612.45679,MWh
IE_Waerme,Name Verwaltungseineit,2014,EEV_Wärme_IND,111496.16966,MWh
KE_Waerme,Name Verwaltungseineit,2014,EEV_Wärme_KOM,0,MWh
HE_Strom,Name Verwaltungseineit,2014,EEV_Strom_PHH,85202.54933,MWh
GE_Strom,Name Verwaltungseineit,2014,EEV_Strom_GHD,41802.0658,MWh
IE_Strom,Name Verwaltungseineit,2014,EEV_Strom_IND,136873.9025,MWh
KE_Strom,Name Verwaltungseineit,2014,EEV_Strom_KOM,0,MWh
EEV_Strom_Verkehr,Name Verwaltungseineit,2014,EEV_Fahrstrom_Verkehr,16246.8355351915,MWh
EEV_Kraftstoff_Verkehr,Name Verwaltungseineit,2014,EEV_Kraftstoff_Verkehr,821452.800463348,MWh
HTHG_Waerme,Name Verwaltungseineit,2014,THG_Bund_Wärme_PHH,256297.778058791,t CO2äqu
GTHG_Waerme,Name Verwaltungseineit,2014,THG_Bund_Wärme_GHD,51478.4786905646,t CO2äqu
ITHG_Waerme,Name Verwaltungseineit,2014,THG_Bund_Wärme_IND,31866.40737497,t CO2äqu
KTHG_Waerme,Name Verwaltungseineit,2014,THG_Bund_Wärme_KOM,0,t CO2äqu
HTHG_Strom,Name Verwaltungseineit,2014,THG_Bund_Strom_PHH,52825.5805846,t CO2äqu
GTHG_Strom,Name Verwaltungseineit,2014,THG_Bund_Strom_GHD,25917.280796,t CO2äqu
ITHG_Strom,Name Verwaltungseineit,2014,THG_Bund_Strom_IND,84861.81955,t CO2äqu
KTHG_Strom,Name Verwaltungseineit,2014,THG_Bund_Strom_KOM,0,t CO2äqu
THG_Strom_Verkehr,Name Verwaltungseineit,2014,THG_Bund_Fahrstrom_Verkehr,14971.7888370598,t CO2äqu
THG_Kraftstoff_Verkehr,Name Verwaltungseineit,2014,THG_Bund_Kraftstoff_Verkehr,256340.004515782,t CO2äqu
HTHG_l_Waerme,Name Verwaltungseineit,2014,THG_lokal_Wärme_PHH,246418.5951065,t CO2äqu
GTHG_l_Waerme,Name Verwaltungseineit,2014,THG_lokal_Wärme_GHD,51478.4786905646,t CO2äqu
ITHG_l_Waerme,Name Verwaltungseineit,2014,THG_lokal_Wärme_IND,31866.40737497,t CO2äqu
KTHG_l_Waerme,Name Verwaltungseineit,2014,THG_lokal_Wärme_KOM,0,t CO2äqu
HTHG_l_Strom,Name Verwaltungseineit,2014,THG_lokal_Strom_PHH,6300.46949721893,t CO2äqu
GTHG_l_Strom,Name Verwaltungseineit,2014,THG_lokal_Strom_GHD,2794.4729191617,t CO2äqu
ITHG_l_Strom,Name Verwaltungseineit,2014,THG_lokal_Strom_IND,10297.1682530126,t CO2äqu
KTHG_l_Strom,Name Verwaltungseineit,2014,THG_lokal_Strom_KOM,0,t CO2äqu
THG_l_Strom_Verkehr,Name Verwaltungseineit,2014,THG_lokal_Fahrstrom_Verkehr,10613.7781367006,t CO2äqu
THG_l_Kraftstoff_Verkehr,Name Verwaltungseineit,2014,THG_lokal_Kraftstoff_Verkehr,256340.004515782,t CO2äqu
Datengüte,Name Verwaltungseineit,2014,Datengüte,61.5747457233362,%
U26,Name Verwaltungseineit,2014,Emissionsfaktor Bundesstrom-Mix,0.62,t/MWh
U26a,Name Verwaltungseineit,2014,Emissionsfakor Territorial-Mix,0.073488781290579,t/MWh
