X,Y,Inbetriebn,PLZ,Ort,Strasse,Nennleistu,kWh(2013),kWh(averag,kWh/kW,addrtype,addrlocat
8.147643,49.2207935,19.05.2006,"76829",Dammheim,Speyerer Straße 19,"8,8","6978","7763,827","882",craft,winery
8.15307264373812,49.2211934,21.06.2006,"76829",Dammheim,Falkenstraße 10,"8,51","6642","8430,972","990",building,yes
8.1482802,49.22074,21.12.2006,"76829",Dammheim,Speyerer Straße 23,"10,56","9936","11018,319","1043",shop,wine
8.14990178636894,49.22026315,24.09.2007,"76829",Dammheim,Schulstr. 6,"26,08","22437","24865,666","953",building,yes
8.0781783,49.1697089,17.05.2006,"76829",Mörzheim,Brühlstraße 40,"9,9","7721","7864,282","794",highway,residential
8.0781783,49.1697089,07.06.2006,"76829",Mörzheim,Brühlstraße 25,"3,885","3542","3647,967","938",highway,residential
8.0762099,49.1667212,02.09.2006,"76829",Mörzheim,Arzheimer-Tor-Straße 10,"11,88","10980","11328,8","953",highway,unclassified
8.07483229401914,49.1651932,06.09.2006,"76829",Mörzheim,Jakob-Becker-Str. 45,"5,16","4774","4830,893","936",building,yes
8.0766834,49.1655271,15.09.2006,"76829",Mörzheim,Jakob-Becker-Str. 55,"6,38","6003","6169,9","967",highway,residential
8.0728054,49.1663685,28.11.2009,"76829",Mörzheim,Raiffeisenstraße 26,"3",,"4146,5","1382",highway,residential
8.088332,49.1898292,24.09.1991,"76829",Landau,"Türkheimer Straße,27","3","1739","2017,857","672",highway,residential
8.0945869,49.1900047,01.07.1993,"76829",Landau,"Kropsburgstraße,6","2","793","867,286","433",highway,residential
8.11445057249703,49.1918011,08.09.1998,"76829",Landau,"Cornichonstraße,1","1,1","798","827,857","752",amenity,school
8.0766664,49.1687955,18.07.2000,"76829",Landau,Unterstraße,"1,7","985","1276,433","750",highway,residential
8.0970156,49.1365251,01.07.2001,"76829",Landau,Raiffeisenstraße,"1",,"724,339","724",highway,residential
8.0874116,49.1878095,15.08.2001,"76829",Landau,"Kolmarer Straße,35","3","2583","2859","953",highway,residential
8.10070153569183,49.20113455,04.09.2001,"76829",Landau,"Schattenmannstraße,7","5,075","2707","4444,286","875",building,yes
8.10070153569183,49.20113455,04.09.2001,"76829",Landau,"Schattenmannstraße,7","5,075","2942","3082,2","607",building,yes
8.09104975364475,49.19252635,14.09.2001,"76829",Landau,"Emich-von-Leiningen-Straße,14","3,3","2694","2969,429","899",building,yes
8.08926480777296,49.19512975,14.09.2001,"76829",Landau,"Salierstraße,11","3","1064","1900,286","633",building,yes
8.10079300101159,49.20785435,05.10.2001,"76829",Landau,"Am Heidenweg,20","2","1840","1908,714","954",building,yes
8.10382437512315,49.1943586,18.10.2001,"76829",Landau,"Dahlienstraße,10","2,45","1088","1950,857","796",building,yes
8.10921,49.1884593,14.12.2001,"76829",Landau,"Konrad-Adenauer-Straße,26","3","2504","2817,857","939",highway,residential
